Investor Name,Fund Stage,Fund Focus (Sectors),Location
Sapphire Ventures #215,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #216,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #217,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #218,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #219,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #220,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #221,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #222,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #223,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #224,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #225,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #226,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #227,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #228,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #229,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #230,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #231,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #232,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #233,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #234,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #235,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #236,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #237,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #238,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #239,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #240,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #241,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #242,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #243,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #244,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #245,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #246,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #247,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #248,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #249,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #250,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #251,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #252,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #253,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #254,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #255,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #256,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #257,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #258,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #259,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #260,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #261,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #262,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #263,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #264,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #265,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #266,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #267,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #268,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #269,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #270,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #271,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #272,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #273,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #274,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #275,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #276,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #277,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #278,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #279,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #280,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #281,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #282,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #283,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #284,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #285,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #286,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #287,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #288,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #289,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #290,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #291,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #292,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #293,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #294,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #295,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #296,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #297,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #298,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #299,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #300,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
Sequoia Capital #301,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #302,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #303,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #304,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #305,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #306,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #307,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #308,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #309,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #310,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #311,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #312,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #313,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #314,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #315,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #316,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #317,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #318,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #319,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #320,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #321,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #322,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #323,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #324,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #325,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #326,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #327,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #328,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #329,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #330,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #331,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #332,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #333,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #334,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #335,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #336,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #337,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #338,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #339,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #340,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #341,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #342,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #343,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #344,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #345,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #346,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #347,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #348,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #349,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #350,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #351,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #352,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #353,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #354,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #355,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #356,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #357,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #358,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #359,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #360,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #361,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #362,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #363,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #364,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #365,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #366,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #367,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #368,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #369,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #370,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #371,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #372,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #373,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #374,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #375,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #376,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #377,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #378,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #379,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #380,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #381,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #382,"Seed, Series A","Web3, SaaS","New York, NY, USA"
GGV Capital #383,"Seed, Series A","Consumer, SaaS, E-commerce","Menlo Park, CA, USA"
CRV #384,"Seed, Series A","Consumer, SaaS","San Francisco, CA, USA"
IVP #385,Growth,"Consumer, Health, FinTech","San Francisco, CA, USA"
Notable Capital #386,Early to IPO,"Infra, Cybersecurity","Menlo Park, CA, USA"
NFX #387,"Pre-seed, Seed","Gaming, Marketplaces","San Francisco, CA, USA"
Bessemer Venture Partners #388,"Seed, Series A","Cloud, Healthcare","San Francisco, CA, USA"
Sapphire Ventures #389,Series B+,"Enterprise, Cloud","Palo Alto, CA, USA"
Khosla Ventures #390,"Seed, Series A","AI, CleanTech","Menlo Park, CA, USA"
Sequoia Capital #391,Seed,"SaaS, AI/ML, FinTech, Consumer, Healthcare","Menlo Park, CA, USA"
Andreessen Horowitz #392,Seed,"Crypto, Web3, BioTech, FinTech, Consumer","Menlo Park, CA, USA"
Accel #393,"Seed, Series A, Series B","SaaS, Cybersecurity, Dev Tools","Palo Alto, CA, USA"
Benchmark Capital #394,"Seed, Series A","Consumer Tech, SaaS","San Francisco, CA, USA"
Lightspeed Venture Partners #395,Seed,"Software, Enterprise Software","Menlo Park, CA, USA"
Greylock Partners #396,"Seed, Series A","SaaS, AI, Consumer","Menlo Park, CA, USA"
Founders Fund #397,Seed,"Frontier Tech, FinTech","San Francisco, CA, USA"
General Catalyst #398,Seed,"Consumer, SaaS, FinTech","Cambridge, MA, USA"
First Round Capital #399,Seed,"Consumer, Marketplaces","Philadelphia, PA, USA"
Union Square Ventures #400,"Seed, Series A","Web3, SaaS","New York, NY, USA"
